dataset,window,lam1,lam2,truth_buf,stratified_point,stratified_ucb,ipw_point,ipw_ucb,naive_point,naive_ucb
har,7,0.7,0.05,0.04733333333333333,0.0568272604588394,0.08813015582457973,0.2676518883415435,0.4282123913318653,0.10509031198686371,0.1298114137696515
har,7,0.7,0.18,0.01,0.015573549257759785,0.036077297457645235,0.07224958949096881,0.17238147153055733,0.013136288998357963,0.024544867780212504
har,7,0.7,0.5,0.003,0.0035600539811066127,0.018384440983985215,0.016420361247947452,0.08004024110991381,0.0016420361247947454,0.008004024110991381
har,8,0.02,0.05,0.15566666666666668,0.15026666666666666,0.19504088482529777,0.7500000000000001,0.9821815490722655,0.3547297297297297,0.3913176253035261
har,8,0.02,0.18,0.15566666666666668,0.15026666666666666,0.19504088482529777,0.7500000000000001,0.9821815490722655,0.3547297297297297,0.3913176253035261
har,8,0.02,0.5,0.15566666666666668,0.15026666666666666,0.19504088482529777,0.7500000000000001,0.9821815490722655,0.3547297297297297,0.3913176253035261
har,8,0.08,0.05,0.15566666666666668,0.15026666666666666,0.19504088482529777,0.7500000000000001,0.9821815490722655,0.3547297297297297,0.3913176253035261
har,8,0.08,0.18,0.15566666666666668,0.15026666666666666,0.19504088482529777,0.7500000000000001,0.9821815490722655,0.3547297297297297,0.3913176253035261
har,8,0.08,0.5,0.15566666666666668,0.15026666666666666,0.19504088482529777,0.7500000000000001,0.9821815490722655,0.3547297297297297,0.3913176253035261
har,8,0.18,0.05,0.11966666666666667,0.12175897435897437,0.16297989872857488,0.606418918918919,0.811907088434374,0.24155405405405406,0.2749384464444341
har,8,0.18,0.18,0.116,0.11809230769230769,0.15875087740749946,0.5878378378378379,0.7928169095838394,0.22297297297297297,0.2555753604785816
har,8,0.18,0.5,0.11566666666666667,0.11775897435897437,0.15836493455534145,0.5861486486486487,0.792816413415445,0.22128378378378377,0.25381074563877004
har,8,0.35,0.05,0.054,0.062220512820512816,0.09392046420899927,0.3091216216216216,0.48067978749404083,0.09628378378378379,0.12058108561747784
har,8,0.35,0.18,0.030333333333333334,0.04237948717948718,0.07001360004661855,0.20945945945945946,0.35851512084136133,0.02702702702702703,0.04201167338603251
har,8,0.35,0.5,0.027333333333333334,0.03420512820512821,0.059727731086384274,0.16891891891891891,0.2955183145162222,0.016891891891891893,0.02955183145162222
har,8,0.7,0.05,0.04066666666666666,0.048538461538461544,0.07761725822896665,0.24155405405405403,0.39971596969140544,0.08952702702702703,0.11316374508110252
har,8,0.7,0.18,0.009,0.015015384615384616,0.03474549652200199,0.07432432432432433,0.17730343664014664,0.013513513513513514,0.025245125229294237
har,8,0.7,0.5,0.0023333333333333335,0.0034205128205128206,0.017687771941524214,0.016891891891891893,0.08232720800348227,0.0016891891891891893,0.008232720800348228
har,9,0.02,0.05,0.15666666666666668,0.16091731266149872,0.20647261123459654,0.7632,0.984232891845703,0.36,0.39566345214843746
har,9,0.02,0.18,0.15666666666666668,0.16091731266149872,0.20647261123459654,0.7632,0.984232891845703,0.36,0.39566345214843746
har,9,0.02,0.5,0.15666666666666668,0.16091731266149872,0.20647261123459654,0.7632,0.984232891845703,0.36,0.39566345214843746
har,9,0.08,0.05,0.15666666666666668,0.16091731266149872,0.20647261123459654,0.7632,0.984232891845703,0.36,0.39566345214843746
har,9,0.08,0.18,0.15666666666666668,0.16091731266149872,0.20647261123459654,0.7632,0.984232891845703,0.36,0.39566345214843746
har,9,0.08,0.5,0.15666666666666668,0.16091731266149872,0.20647261123459654,0.7632,0.984232891845703,0.36,0.39566345214843746
har,9,0.18,0.05,0.117,0.12944702842377262,0.17119704622278903,0.6128,0.8235736938476562,0.2384,0.27071826171875
har,9,0.18,0.18,0.11266666666666666,0.1251136950904393,0.1662106285234355,0.592,0.7875484008789063,0.2176,0.24904221649169925
har,9,0.18,0.5,0.11233333333333333,0.12478036175710594,0.16582548323203888,0.5903999999999999,0.78754308013916,0.216,0.24737043762207034
har,9,0.35,0.05,0.05533333333333333,0.07416408268733851,0.10764461272819988,0.35039999999999993,0.5121260650634765,0.1056,0.1300153076171875
har,9,0.35,0.18,0.03133333333333333,0.048958656330749355,0.07801070194256904,0.2304,0.3787641723632812,0.0288,0.04364619598388672
har,9,0.35,0.5,0.028,0.04082170542635659,0.06788989990461153,0.19199999999999998,0.31998582458496083,0.0192,0.031998582458496086
har,9,0.7,0.05,0.04066666666666666,0.05375322997416021,0.08370200808257568,0.2544,0.39809651947021474,0.096,0.11955057525634767
har,9,0.7,0.18,0.009333333333333334,0.014940568475452198,0.034616907808096835,0.0704,0.16798427429199214,0.0128,0.02391967010498047
har,9,0.7,0.5,0.0033333333333333335,0.003401808785529716,0.0176164272289481,0.016,0.077994384765625,0.0016,0.0077994384765625
har,10,0.02,0.05,0.14633333333333334,0.1482749391727494,0.19173753914191616,0.7377850162866448,0.9655121095017424,0.3273615635179153,0.362716623548576
har,10,0.02,0.18,0.14633333333333334,0.1482749391727494,0.19173753914191616,0.7377850162866448,0.9655121095017424,0.3273615635179153,0.362716623548576
har,10,0.02,0.5,0.14633333333333334,0.1482749391727494,0.19173753914191616,0.7377850162866448,0.9655121095017424,0.3273615635179153,0.362716623548576
har,10,0.08,0.05,0.14633333333333334,0.1482749391727494,0.19173753914191616,0.7377850162866448,0.9655121095017424,0.3273615635179153,0.362716623548576
har,10,0.08,0.18,0.14633333333333334,0.1482749391727494,0.19173753914191616,0.7377850162866448,0.9655121095017424,0.3273615635179153,0.362716623548576
har,10,0.08,0.5,0.14633333333333334,0.1482749391727494,0.19173753914191616,0.7377850162866448,0.9655121095017424,0.3273615635179153,0.362716623548576
har,10,0.18,0.05,0.10866666666666666,0.11823357664233576,0.1578955955055469,0.5895765472312704,0.8015088724391081,0.22312703583061888,0.2551117300598939
har,10,0.18,0.18,0.10533333333333333,0.11490024330900242,0.15403543303905592,0.5732899022801303,0.783125756229562,0.20684039087947884,0.23808112594902708
har,10,0.18,0.5,0.105,0.1145669099756691,0.15364801716505455,0.5716612377850163,0.7831248522581419,0.20521172638436483,0.23637411260449537
har,10,0.35,0.05,0.052333333333333336,0.06354014598540146,0.09459057676339086,0.31758957654723124,0.482885014350717,0.09771986970684039,0.12166448524798167
har,10,0.35,0.18,0.03133333333333333,0.040165450121654504,0.06645070387554017,0.20195439739413681,0.34576078035932417,0.026058631921824105,0.04051761751454505
har,10,0.35,0.5,0.028666666666666667,0.03559610705596107,0.060639268830299534,0.1791530944625407,0.30542401615105536,0.017915309446254073,0.03054240161510554
har,10,0.7,0.05,0.037,0.04412408759124088,0.07141419515315801,0.2198697068403909,0.36569827542631167,0.08794788273615635,0.11095237110647393
har,10,0.7,0.18,0.009333333333333334,0.011041362530413627,0.028473292069837952,0.05537459283387622,0.14624016292708703,0.011400651465798045,0.022227787427871157
har,10,0.7,0.5,0.004,0.0032360097323600972,0.016793566380062155,0.016286644951140065,0.07939323151927041,0.0016286644951140066,0.007939323151927042
har,11,0.02,0.05,0.13833333333333334,0.12612455516014237,0.16725207441487486,0.6765734265734266,0.8989857193473338,0.29895104895104896,0.3349082086469743
har,11,0.02,0.18,0.13833333333333334,0.12612455516014237,0.16725207441487486,0.6765734265734266,0.8989857193473338,0.29895104895104896,0.3349082086469743
har,11,0.02,0.5,0.13833333333333334,0.12612455516014237,0.16725207441487486,0.6765734265734266,0.8989857193473338,0.29895104895104896,0.3349082086469743
har,11,0.08,0.05,0.13833333333333334,0.12612455516014237,0.16725207441487486,0.6765734265734266,0.8989857193473338,0.29895104895104896,0.3349082086469743
har,11,0.08,0.18,0.13833333333333334,0.12612455516014237,0.16725207441487486,0.6765734265734266,0.8989857193473338,0.29895104895104896,0.3349082086469743
har,11,0.08,0.5,0.13833333333333334,0.12612455516014237,0.16725207441487486,0.6765734265734266,0.8989857193473338,0.29895104895104896,0.3349082086469743
har,11,0.18,0.05,0.10266666666666667,0.0988173190984579,0.13610475799477023,0.5314685314685315,0.740835683329122,0.20104895104895104,0.23319973312057815
har,11,0.18,0.18,0.09866666666666667,0.09481731909845789,0.13140108214131713,0.5104895104895104,0.7208725922591203,0.18006993006993008,0.21108504608794526
har,11,0.18,0.5,0.09833333333333333,0.09448398576512457,0.1310069134937401,0.5087412587412586,0.7208738460407388,0.17832167832167833,0.2092360149730335
har,11,0.35,0.05,0.050333333333333334,0.051562277580071175,0.08049099419504399,0.2779720279720279,0.43469070054434383,0.08916083916083917,0.11321706371707517
har,11,0.35,0.18,0.032,0.03313523131672599,0.057545208237555275,0.18006993006993008,0.32623908569762755,0.022727272727272728,0.0370959151874889
har,11,0.35,0.5,0.030333333333333334,0.032135231316725986,0.056158111859466994,0.17482517482517482,0.3057805308095225,0.017482517482517484,0.030578053080952253
har,11,0.7,0.05,0.037,0.035494661921708186,0.06081241954945957,0.19055944055944055,0.32770390944047406,0.08041958041958042,0.10355081091393958
har,11,0.7,0.18,0.013,0.010640569395017795,0.02782721787204855,0.05769230769230768,0.1541972893934983,0.01048951048951049,0.021541782192416953
har,11,0.7,0.5,0.009333333333333334,0.009640569395017794,0.02644012149396027,0.05244755244755245,0.14285604436914404,0.005244755244755245,0.014285604436914404
har,12,0.02,0.05,0.12333333333333334,0.11328395061728394,0.15328903620543338,0.5944055944055944,0.8004435959395828,0.27972027972027974,0.3150976354425604
har,12,0.02,0.18,0.12333333333333334,0.11328395061728394,0.15328903620543338,0.5944055944055944,0.8004435959395828,0.27972027972027974,0.3150976354425604
har,12,0.02,0.5,0.12333333333333334,0.11328395061728394,0.15328903620543338,0.5944055944055944,0.8004435959395828,0.27972027972027974,0.3150976354425604
har,12,0.08,0.05,0.12333333333333334,0.11328395061728394,0.15328903620543338,0.5944055944055944,0.8004435959395828,0.27972027972027974,0.3150976354425604
har,12,0.08,0.18,0.12333333333333334,0.11328395061728394,0.15328903620543338,0.5944055944055944,0.8004435959395828,0.27972027972027974,0.3150976354425604
har,12,0.08,0.5,0.12333333333333334,0.11328395061728394,0.15328903620543338,0.5944055944055944,0.8004435959395828,0.27972027972027974,0.3150976354425604
har,12,0.18,0.05,0.08833333333333333,0.0782962962962963,0.1129426831894434,0.4108391608391608,0.5999564457606602,0.17482517482517482,0.20553424808528878
har,12,0.18,0.18,0.084,0.07396296296296295,0.10780702268332565,0.3881118881118881,0.57958405501359,0.1520979020979021,0.18137084354053845
har,12,0.18,0.5,0.08366666666666667,0.07362962962962963,0.10740939026494023,0.3863636363636364,0.5795850970528343,0.15034965034965034,0.1795038743452592
har,12,0.35,0.05,0.043666666666666666,0.04031358024691358,0.06727356955583942,0.2115384615384615,0.3672183293562668,0.08566433566433566,0.10935860580497689
har,12,0.35,0.18,0.025333333333333333,0.020985185185185187,0.042472212905184326,0.11013986013986013,0.23143159426175633,0.015734265734265736,0.028363117804894082
har,12,0.35,0.5,0.023,0.019985185185185186,0.04108069222370633,0.1048951048951049,0.21541782192416953,0.01048951048951049,0.021541782192416953
har,12,0.7,0.05,0.034333333333333334,0.03365185185185185,0.05885983638194012,0.17657342657342653,0.3216423204728773,0.08216783216783216,0.10548967081350047
har,12,0.7,0.18,0.011333333333333334,0.010992592592592592,0.028765185010380213,0.05769230769230768,0.1541972893934983,0.01048951048951049,0.021541782192416953
har,12,0.7,0.5,0.008333333333333333,0.009992592592592593,0.027373664328902217,0.05244755244755245,0.14285604436914404,0.005244755244755245,0.014285604436914404
gas,1,0.02,0.05,0.448,0.43455555555555553,0.5300961598216264,1.0767386091127096,1.0,0.7314148681055156,0.7699397610817595
gas,1,0.02,0.18,0.448,0.43455555555555553,0.5300961598216264,1.0767386091127096,1.0,0.7314148681055156,0.7699397610817595
gas,1,0.02,0.5,0.448,0.43455555555555553,0.5300961598216264,1.0767386091127096,1.0,0.7314148681055156,0.7699397610817595
gas,1,0.08,0.05,0.402,0.39455555555555555,0.4889687116011089,0.9808153477218224,1.0,0.6354916067146283,0.6779244695064259
gas,1,0.08,0.18,0.343,0.3355555555555555,0.42595213260181397,0.8393285371702638,1.0,0.4940047961630695,0.5389306322276162
gas,1,0.08,0.5,0.336,0.33055555555555555,0.4205109346078299,0.8273381294964028,1.0,0.48201438848920863,0.5269881872822054
gas,1,0.18,0.05,0.387,0.37745833333333334,0.4711194989142212,0.937649880095923,1.0,0.6139088729016786,0.656958687505562
gas,1,0.18,0.18,0.22,0.21045833333333336,0.28980288572961166,0.5371702637889688,0.7922646090281096,0.21342925659472423,0.25221859865623125
gas,1,0.18,0.5,0.185,0.17316666666666666,0.24810094480293796,0.44124700239808146,0.6800207462813929,0.18225419664268586,0.21917837815319033
gas,1,0.35,0.05,0.362,0.3461666666666666,0.43804033662211794,0.8561151079136688,1.0,0.5971223021582733,0.6405907500562049
gas,1,0.35,0.18,0.19,0.17416666666666666,0.24905920240449375,0.44364508393285373,0.6800258302574249,0.18465227817745802,0.22173177595618815
gas,1,0.35,0.5,0.005,0.0,0.03185506316404525,0.0,0.05507469177246094,0.0,0.005507469177246094
gas,1,0.7,0.05,0.37,0.3461666666666666,0.43804033662211794,0.8561151079136688,1.0,0.5971223021582733,0.6405907500562049
