dataset,setting,method,n_runs,acc,acc_ci,fidelity_risk,fidelity_risk_ci,violation_rate,violation_rate_ci,cost_scalar,cost_scalar_ci,esc_cloud,esc_cloud_ci,energy_mJ,energy_mJ_ci,latency_ms,latency_ms_ci,usd,usd_ci
gas,shift,codec,20,0.6490750000000001,0.0070351745680717155,0.026034999999999985,0.002980409432778797,0.1875,0.03468811221886022,0.8855894476817834,0.008030277260186094,0.808025,0.01614496456749924,0.07255199718527991,0.00048552378609632195,36.341992208563205,0.5974518577496883,0.00016534200000000002,2.90551339382234e-06
gas,shift,codec_no_explore,20,0.6480749999999998,0.005842872027660741,0.023074999999999995,0.004081379252346363,0.18749999999999994,0.06869783964461841,0.8762171258115037,0.009448007863660797,0.8029000000000002,0.01972972096538468,0.07289080014719992,0.0020037787420204276,35.376654128768,0.7636478211808698,0.00016058,3.9459441930769295e-06
gas,shift,codec_no_aci,20,0.6504000000000001,0.006252043354779057,0.01842999999999999,0.0018560458709749323,0.1,0.024008632472541036,0.9097083070536561,0.006067338396891252,0.8337399999999999,0.013250358823871758,0.07442199821375992,0.00045668870577963923,37.3871613230464,0.49569323852058805,0.000170134,2.4315690743491304e-06
gas,shift,codec_bonferroni,20,0.65307,0.004882605074801128,0.02757,0.0016502228348907126,0.18000000000000002,0.028810358967049244,0.8062173674976068,0.005294740305790731,0.74343,0.01029790784338317,0.0648351247814399,0.0003764324531784713,33.7227646381696,0.37543580247458563,0.000153826,1.8241937799956563e-06
gas,shift,codec_rawconf,20,0.6544500000000001,0.005686803300165481,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.07704052799999991,6.663734140194565e-18,43.599729919999994,3.4118318797796172e-15,0.0002,0.0
gas,shift,codec_two_tier,20,0.6577550000000001,0.0037240004900677805,0.02843,0.0027182649600253064,0.15500000000000003,0.018441380522859877,0.7980508361843869,0.006203044558121192,0.7758949999999999,0.006912376321714938,0.061481764836479914,0.0004779009694770935,34.796534046707194,0.2703978329207728,0.000159607,1.2407061960650653e-06
har,iid,device_only,20,0.86865,0.0021510180509025944,0.13129999999999997,0.0013858617865529098,1.0,0.0,4.2704397499077656e-05,0.0,0.0,0.0,4.0320000000000005e-06,4.0672205445523467e-22,0.013440000000000002,8.329667675243206e-19,0.0,0.0
har,iid,cloud_only,20,0.9705000000000004,0.0016417411152951258,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.6918904319999998,5.330987312155652e-17,67.55357312000001,0.0,0.0002,0.0
har,iid,fixed_conf,20,0.9683499999999998,0.0015295967391325937,0.03539999999999997,0.0017458750020461784,0.05,0.02400863247254104,0.5678137248941949,5.330987312155652e-17,0.0,0.0,0.6912512640000001,0.0,23.061312000000004,1.7059159398898086e-15,0.0,0.0
har,iid,entropy,20,0.9501500000000002,0.0023488002341987483,0.04099999999999997,0.004527394089832157,0.22499999999999995,0.11944143846144188,0.19925310540462182,0.02691450761308765,0.13185000000000002,0.059038877271201676,0.17324573791679998,0.003976488384213666,11.653236564672003,2.6794769598324244,2.6369999999999997e-05,1.180777545424034e-05
har,iid,learned_router,20,0.9597999999999999,0.006926480065966503,0.03874999999999998,0.003192606524816833,0.1,0.058808898979740405,0.473068954122459,0.07879765548032167,0.0472,0.039255457671978494,0.55109649408,0.11656439911272128,20.487238283264002,2.1408144455907294,9.44e-06,7.851091534395697e-06
har,iid,cost_static,20,0.9520000000000002,0.0038191086417817465,0.04364999999999998,0.003432058994608582,0.32500000000000007,0.10396042815672268,0.1661361210399563,0.012112458365288077,0.023299999999999977,0.011021505235352164,0.18997366396799995,0.01770088290210525,7.383664909696003,0.4726965786333954,4.6599999999999994e-06,2.204301047070432e-06
