dataset,setting,method,model_seed,stream_seed,alpha,delta,epsilon,outage_rate,budget,n_windows,acc,fidelity_risk,violation_rate,cost_scalar,energy_mJ,latency_ms,usd,esc_cloud,n_reselect,final_debt
har,iid,codec_rawconf,0,3,0.05,0.1,0.1,0.0,-1.0,10,0.971,0.018,0.0,0.7375665426816422,0.6430357047936,43.02209802880001,9.700000000000004e-05,0.4286,9,0.0
har,iid,codec_two_tier,0,3,0.05,0.1,0.1,0.0,-1.0,10,0.965,0.0156,0.0,0.5160206689283896,0.3570174144,34.86414868992001,0.0001032,0.4612,9,0.0
har,iid,device_only,0,4,0.05,0.1,0.0,0.0,-1.0,10,0.8666,0.1334,1.0,4.2704397499077656e-05,4.032e-06,0.01344,0.0,0.0,0,0.0
har,iid,cloud_only,0,4,0.05,0.1,0.0,0.0,-1.0,10,0.9754,0.0,0.0,1.0,0.6918904319999999,67.55357312000001,0.0002,1.0,0,0.0
har,iid,fixed_conf,0,4,0.05,0.1,0.0,0.0,-1.0,10,0.9694,0.0312,0.0,0.5678137248941948,0.6912512640000001,23.061312000000008,0.0,0.0,0,0.0
har,iid,entropy,0,4,0.05,0.1,0.0,0.0,-1.0,10,0.9574,0.0292,0.0,0.2700311742101743,0.18681336,18.249275942400008,5.4e-05,0.27,0,0.0
har,iid,learned_router,0,4,0.05,0.1,0.0,0.0,-1.0,10,0.9694,0.0312,0.0,0.5678137248941948,0.6912512640000001,23.061312000000008,0.0,0.0,0,0.0
har,iid,cost_static,0,4,0.05,0.1,0.0,0.0,-1.0,10,0.964,0.0322,0.0,0.2004049010940961,0.2349008351231999,8.610373796864002,3.44e-06,0.0172,0,0.0
har,iid,offline_crc,0,4,0.05,0.1,0.0,0.0,-1.0,10,0.9648,0.0262,0.0,0.2131111775822068,0.2349196266624,9.918446273792002,9.32e-06,0.0465999999999999,0,0.0
har,iid,online_naive,0,4,0.05,0.1,0.1,0.0,-1.0,10,0.969,0.019,0.0,0.5248283692295505,0.4516162739711999,30.920742279168007,7.128000000000002e-05,0.2799999999999999,9,0.0
har,iid,online_ipw,0,4,0.05,0.1,0.1,0.0,-1.0,10,0.978,0.0036,0.0,0.7356089409081725,0.6546316564224,42.22580813260801,9.168000000000002e-05,0.3985999999999999,9,0.0
har,iid,codec,0,4,0.05,0.1,0.1,0.0,-1.0,10,0.9566,0.0314,0.0,0.4327324131752902,0.3632459873279999,25.964174034944005,6.224000000000001e-05,0.2281999999999999,9,0.0
har,iid,codec_no_explore,0,4,0.05,0.1,0.0,0.0,-1.0,10,0.9656,0.0252,0.0,0.3607727143018587,0.3268241279615999,20.418309734656003,4.276000000000002e-05,0.2138,1,0.0
har,iid,codec_no_aci,0,4,0.05,0.1,0.1,0.0,-1.0,10,0.9736,0.0135999999999999,0.0,0.6605748222959819,0.6104726857344,36.75994885043201,7.372000000000002e-05,0.3004,9,0.0
har,iid,codec_bonferroni,0,4,0.05,0.1,0.1,0.0,-1.0,10,0.9674,0.0169999999999999,0.0,0.4689478114096057,0.3892588706304,28.361307804672,6.912000000000002e-05,0.2702,8,0.0
har,iid,codec_rawconf,0,4,0.05,0.1,0.1,0.0,-1.0,10,0.9718,0.0194,0.0,0.7669651604629498,0.6915457926144,43.563345924096005,9.216000000000004e-05,0.4009999999999999,9,0.0
har,iid,codec_two_tier,0,4,0.05,0.1,0.1,0.0,-1.0,10,0.9626,0.0176,0.0,0.5216204297837636,0.36089197824,35.242373435392004,0.00010432,0.4691999999999999,9,0.0
har,iid,device_only,1,0,0.05,0.1,0.0,0.0,-1.0,10,0.876,0.1263999999999999,1.0,4.2704397499077656e-05,4.032e-06,0.01344,0.0,0.0,0,0.0
har,iid,cloud_only,1,0,0.05,0.1,0.0,0.0,-1.0,10,0.9672,0.0,0.0,1.0,0.6918904319999999,67.55357312000001,0.0002,1.0,0,0.0
har,iid,fixed_conf,1,0,0.05,0.1,0.0,0.0,-1.0,10,0.963,0.0411999999999999,0.1,0.5678137248941948,0.6912512640000001,23.061312000000008,0.0,0.0,0,0.0
har,iid,entropy,1,0,0.05,0.1,0.0,0.0,-1.0,10,0.9486,0.0538,0.6,0.141644796909375,0.1724010916608,5.761579276800001,0.0,0.0,0,0.0
har,iid,learned_router,1,0,0.05,0.1,0.0,0.0,-1.0,10,0.963,0.0411999999999999,0.1,0.5678137248941948,0.6912512640000001,23.061312000000008,0.0,0.0,0,0.0
har,iid,cost_static,1,0,0.05,0.1,0.0,0.0,-1.0,10,0.9462,0.0516,0.6,0.1352366456667937,0.1569264855168,5.894893956352002,2.92e-06,0.0145999999999999,0,0.0
har,iid,offline_crc,1,0,0.05,0.1,0.0,0.0,-1.0,10,0.9464,0.0409999999999999,0.1,0.1560680241268936,0.1569572934144,8.039420942336003,1.2559999999999998e-05,0.0628,0,0.0
har,iid,online_naive,1,0,0.05,0.1,0.1,0.0,-1.0,10,0.9678,0.023,0.0,0.6645863508173527,0.6498318485375999,35.15498522496,6.060000000000002e-05,0.2259999999999999,9,0.0
har,iid,online_ipw,1,0,0.05,0.1,0.1,0.0,-1.0,10,0.968,0.002,0.0,0.7151694692664547,0.5663673438336,44.64605678208001,0.0001158,0.534,9,0.0
har,iid,codec,1,0,0.05,0.1,0.1,0.0,-1.0,10,0.9682,0.0162,0.0,0.681575578736428,0.6342537636864,37.70406933504001,7.440000000000002e-05,0.3019999999999999,9,0.0
har,iid,codec_no_explore,1,0,0.05,0.1,0.0,0.0,-1.0,10,0.9606,0.0145999999999999,0.0,0.4470760694877739,0.3284706601343999,29.225092041472003,8.212e-05,0.4105999999999999,1,0.0
har,iid,codec_no_aci,1,0,0.05,0.1,0.1,0.0,-1.0,10,0.9674,0.0102,0.0,0.7165012211407091,0.6550176422016,40.237485105408005,8.268000000000001e-05,0.3446,9,0.0
har,iid,codec_bonferroni,1,0,0.05,0.1,0.1,0.0,-1.0,10,0.9656,0.012,0.0,0.5301044116061313,0.4560426850944,31.237319252224005,7.204000000000002e-05,0.2904,8,0.0
har,iid,codec_rawconf,1,0,0.05,0.1,0.1,0.0,-1.0,10,0.9652,0.0152,0.1,0.8466603095924604,0.6916636551936,51.76771887462401,0.00012904,0.605,9,0.0
har,iid,codec_two_tier,1,0,0.05,0.1,0.1,0.0,-1.0,10,0.9526,0.0294,0.1,0.452623376387191,0.31315181664,30.582104250112007,9.052000000000002e-05,0.3956,9,0.0
har,iid,device_only,1,1,0.05,0.1,0.0,0.0,-1.0,10,0.876,0.1263999999999999,1.0,4.2704397499077656e-05,4.032e-06,0.01344,0.0,0.0,0,0.0
har,iid,cloud_only,1,1,0.05,0.1,0.0,0.0,-1.0,10,0.9672,0.0,0.0,1.0,0.6918904319999999,67.55357312000001,0.0002,1.0,0,0.0
har,iid,fixed_conf,1,1,0.05,0.1,0.0,0.0,-1.0,10,0.963,0.0411999999999999,0.1,0.5678137248941948,0.6912512640000001,23.061312000000008,0.0,0.0,0,0.0
har,iid,entropy,1,1,0.05,0.1,0.0,0.0,-1.0,10,0.9486,0.0538,0.6,0.141644796909375,0.1724010916608,5.761579276800001,0.0,0.0,0,0.0
har,iid,learned_router,1,1,0.05,0.1,0.0,0.0,-1.0,10,0.963,0.0411999999999999,0.1,0.5678137248941948,0.6912512640000001,23.061312000000008,0.0,0.0,0,0.0
har,iid,cost_static,1,1,0.05,0.1,0.0,0.0,-1.0,10,0.9462,0.0516,0.6,0.1352366456667937,0.1569264855168,5.894893956352002,2.92e-06,0.0145999999999999,0,0.0
har,iid,offline_crc,1,1,0.05,0.1,0.0,0.0,-1.0,10,0.9464,0.0409999999999999,0.1,0.1560680241268936,0.1569572934144,8.039420942336003,1.2559999999999998e-05,0.0628,0,0.0
har,iid,online_naive,1,1,0.05,0.1,0.1,0.0,-1.0,10,0.9678,0.023,0.0,0.6633880869727747,0.6512108914944,34.960822758912,5.952000000000001e-05,0.2259999999999999,9,0.0
har,iid,online_ipw,1,1,0.05,0.1,0.1,0.0,-1.0,10,0.9684,0.0044,0.0,0.7169963509608601,0.6029616455424,42.957800120832005,0.00010272,0.4608,9,0.0
har,iid,codec,1,1,0.05,0.1,0.1,0.0,-1.0,10,0.9678,0.0226,0.0,0.6229916555273363,0.5902572029952,33.92462709760001,6.400000000000001e-05,0.2453999999999999,9,0.0
har,iid,codec_no_explore,1,1,0.05,0.1,0.0,0.0,-1.0,10,0.9606,0.0145999999999999,0.0,0.4470760694877739,0.3284706601343999,29.225092041472003,8.212e-05,0.4105999999999999,1,0.0
har,iid,codec_no_aci,1,1,0.05,0.1,0.1,0.0,-1.0,10,0.9654,0.02,0.0,0.6468465262936257,0.6162518060928,35.049282199296,6.516e-05,0.2547999999999999,9,0.0
har,iid,codec_bonferroni,1,1,0.05,0.1,0.1,0.0,-1.0,10,0.9658,0.0126,0.0,0.5210099341399624,0.4387690464767999,31.186131133440007,7.440000000000003e-05,0.3048,7,0.0
har,iid,codec_rawconf,1,1,0.05,0.1,0.1,0.0,-1.0,10,0.9652,0.0217999999999999,0.1,0.7673109094830345,0.6915463039488,43.59893973299201,9.232000000000002e-05,0.4069999999999999,9,0.0
har,iid,codec_two_tier,1,1,0.05,0.1,0.1,0.0,-1.0,10,0.959,0.0145999999999999,0.0,0.5388196952681266,0.37279242432,36.40406372505601,0.00010776,0.4847999999999999,9,0.0
har,iid,device_only,1,2,0.05,0.1,0.0,0.0,-1.0,10,0.876,0.1263999999999999,1.0,4.2704397499077656e-05,4.032e-06,0.01344,0.0,0.0,0,0.0
har,iid,cloud_only,1,2,0.05,0.1,0.0,0.0,-1.0,10,0.9672,0.0,0.0,1.0,0.6918904319999999,67.55357312000001,0.0002,1.0,0,0.0
har,iid,fixed_conf,1,2,0.05,0.1,0.0,0.0,-1.0,10,0.963,0.0411999999999999,0.1,0.5678137248941948,0.6912512640000001,23.061312000000008,0.0,0.0,0,0.0
har,iid,entropy,1,2,0.05,0.1,0.0,0.0,-1.0,10,0.9486,0.0538,0.6,0.141644796909375,0.1724010916608,5.761579276800001,0.0,0.0,0,0.0
har,iid,learned_router,1,2,0.05,0.1,0.0,0.0,-1.0,10,0.963,0.0411999999999999,0.1,0.5678137248941948,0.6912512640000001,23.061312000000008,0.0,0.0,0,0.0
har,iid,cost_static,1,2,0.05,0.1,0.0,0.0,-1.0,10,0.9462,0.0516,0.6,0.1352366456667937,0.1569264855168,5.894893956352002,2.92e-06,0.0145999999999999,0,0.0
har,iid,offline_crc,1,2,0.05,0.1,0.0,0.0,-1.0,10,0.9464,0.0409999999999999,0.1,0.1560680241268936,0.1569572934144,8.039420942336003,1.2559999999999998e-05,0.0628,0,0.0
har,iid,online_naive,1,2,0.05,0.1,0.1,0.0,-1.0,10,0.968,0.022,0.0,0.6689895644156454,0.650252605056,35.587041202688006,6.248000000000001e-05,0.2307999999999999,9,0.0
har,iid,online_ipw,1,2,0.05,0.1,0.1,0.0,-1.0,10,0.968,0.002,0.0,0.720037072496718,0.566512624128,45.14008122880001,0.000118,0.544,9,0.0
har,iid,codec,1,2,0.05,0.1,0.1,0.0,-1.0,10,0.9666,0.0203999999999999,0.0,0.6425094359965593,0.6104459685120001,34.900172335616006,6.536000000000001e-05,0.2532,9,0.0
